year,topic,year_next,d_lang,topic_desc,topic_description,n_papers,d_field,d_nearest_neighbor
2016,102,2017,0.936889855981159,F.01,F.01 Neuroethology,151,0.9784345655947974,0.979525582740892
2013,103,2014,0.9088606857280598,E.02,E.02 Cerebellum,54,0.9721080115570494,0.9739456880614288
2014,103,2015,0.9057359098363276,E.02,E.02 Cerebellum,54,0.9400507671113764,0.9778007639630836
2015,103,2016,0.8992505854680138,E.02,E.02 Cerebellum,54,0.9752739897421387,0.9777270612010642
2016,103,2017,0.8934957712578444,E.02,E.02 Cerebellum,54,0.9527250074404212,0.9758893460347218
2013,104,2014,0.872126578290797,E.01,E.01 Eye Movements,51,0.9658589657029308,0.9661675952864544
2014,104,2015,0.882143145856762,E.01,E.01 Eye Movements,51,0.9617138427195736,0.9708007686484704
2015,104,2016,0.879070776477803,E.01,E.01 Eye Movements,51,0.9795702678699486,0.980096219453686
2016,104,2017,0.8679536712638752,E.01,E.01 Eye Movements,51,0.9683172645658418,0.9734491593751936
2013,105,2014,0.920406559001311,D.09,D.09 Visual Sensory-motor Processing,74,0.9752172797614961,0.9757429425526944
2014,105,2015,0.917798340175842,D.09,D.09 Visual Sensory-motor Processing,74,0.9758545727537109,0.9762513830194272
2015,105,2016,0.9176546426043009,D.09,D.09 Visual Sensory-motor Processing,74,0.9752367152076512,0.97686690321363
2016,105,2017,0.9009835209431336,D.09,D.09 Visual Sensory-motor Processing,74,0.97581296449655,0.9777818046601012
2013,106,2014,0.9340247858824444,D.07,D.07 Vision,459,0.9785221497729653,0.9785932991282194
2014,106,2015,0.9326098148219356,D.07,D.07 Vision,459,0.977552350593168,0.9776662113171362
2015,106,2016,0.9360490555397678,D.07,D.07 Vision,459,0.9797347853457076,0.9801101206457972
2016,106,2017,0.9288397926386349,D.07,D.07 Vision,459,0.9747265106846082,0.9753653285187202
2013,107,2014,0.9006773859759883,D.10,D.10 Multisensory Integration,84,0.9768417432445624,0.9777309436039442
2014,107,2015,0.9036998922261532,D.10,D.10 Multisensory Integration,84,0.9733668075066662,0.975089521265906
2015,107,2016,0.9153417562751527,D.10,D.10 Multisensory Integration,84,0.958955556777111,0.9771347951787926
2016,107,2017,0.9206164549646201,D.10,D.10 Multisensory Integration,84,0.975298684602496,0.9758893460347218
2013,108,2014,0.926750264649398,E.04,E.04 Voluntary Movements,324,0.9789006750602449,0.9796607724365086
2014,108,2015,0.9351820547787123,E.04,E.04 Voluntary Movements,324,0.9761296810595378,0.976336202048944
2015,108,2016,0.9275605740207662,E.04,E.04 Voluntary Movements,324,0.9741147961300618,0.9772138954922862
2016,108,2017,0.9294228695363015,E.04,E.04 Voluntary Movements,324,0.9794247292852776,0.979798571206297
2013,109,2014,0.9372026763070758,E.05,E.05 Brain-Machine Interface,148,0.9705903085025058,0.9766294161997724
2014,109,2015,0.9304655197645988,E.05,E.05 Brain-Machine Interface,148,0.9804956697998208,0.9806340081852258
2015,109,2016,0.9298464901875151,E.05,E.05 Brain-Machine Interface,148,0.9780482894976876,0.9781343846167456
2016,109,2017,0.931683743254128,E.05,E.05 Brain-Machine Interface,148,0.97581296449655,0.9778982201972546
2013,110,2014,0.9367239079155628,E.10,E.10 Motor Neurons and Muscle,83,0.8987757236113149,0.9758902529028526
2014,110,2015,0.9279060963160704,E.10,E.10 Motor Neurons and Muscle,83,0.9783479059152071,0.9788524090384456
2015,110,2016,0.9246605313062669,E.10,E.10 Motor Neurons and Muscle,83,0.9739786624169948,0.97706633632915
2016,110,2017,0.9233921667941029,E.10,E.10 Motor Neurons and Muscle,83,0.9759507380646923,0.97822992502259
2013,111,2014,0.9253361487369051,E.06,E.06 Posture and Gait,126,0.9517659612130912,0.9734810167073844
2014,111,2015,0.9209904541228635,E.06,E.06 Posture and Gait,126,0.9733142986726268,0.9736256957864752
2015,111,2016,0.9272619135617084,E.06,E.06 Posture and Gait,126,0.9763599740934352,0.9765346332671726
2016,111,2017,0.926069263378207,E.06,E.06 Posture and Gait,126,0.9689339364513652,0.9729034799976658
2013,113,2014,0.8886936464460732,F.08,F.08 Biological Rhythms and Sleep,151,0.9767078969286296,0.9771093888459084
2014,113,2015,0.8866137971010111,F.08,F.08 Biological Rhythms and Sleep,151,0.9784682269073744,0.9801005982608976
2015,113,2016,0.8767476293798394,F.08,F.08 Biological Rhythms and Sleep,151,0.9660730770386008,0.9788677777497568
2016,113,2017,0.879313686807142,F.08,F.08 Biological Rhythms and Sleep,151,0.9773440792443784,0.977787636350318
2013,114,2014,0.9126455482445853,B.14,B.14 Neuro-Oncology,24,0.9478663708879499,0.9745643224739128
2014,114,2015,0.9090559252687052,B.14,B.14 Neuro-Oncology,24,0.9628506620806442,0.9761479338237232
2015,114,2016,0.9048284983069522,B.14,B.14 Neuro-Oncology,24,0.9453330156025094,0.9794690350665949
2016,114,2017,0.9057398763769045,B.14,B.14 Neuro-Oncology,24,0.9421312018557088,0.9729034799976658
2013,115,2014,0.8815651906732731,F.09,F.09 Thirst and Water Balance,8,0.8994719099194759,0.9740896429559448
2014,115,2015,0.8735651223307872,F.09,F.09 Thirst and Water Balance,8,0.8958105810289213,0.97179870526004
2015,115,2016,0.9021969176298464,F.09,F.09 Thirst and Water Balance,8,0.948924628706263,0.9782044888636544
2016,115,2017,0.8945947311714767,F.09,F.09 Thirst and Water Balance,8,0.8937275253021865,0.9781204065218084
